date,account_value
2022-05-10,1285155.9418140352
2022-05-11,1288599.116054758
2022-05-12,1292606.6624109594
2022-05-13,1282626.985122782
2022-05-16,1291547.126464945
2022-05-17,1296913.605850321
2022-05-18,1272836.8252106726
2022-05-19,1245386.6798993172
2022-05-20,1265727.4735699715
2022-05-23,1304748.871824366
2022-05-24,1328825.7532940926
2022-05-25,1313158.6812333628
2022-05-26,1311989.2288255258
2022-05-27,1323904.750874476
2022-05-31,1312500.8859147592
2022-06-01,1299196.299778895
2022-06-02,1317456.2270501656
2022-06-03,1299094.5001367135
2022-06-06,1291434.1840861004
2022-06-07,1305829.7787516278
2022-06-08,1289567.8457682293
2022-06-09,1266286.3216593426
2022-06-10,1261487.7901041668
2022-06-13,1227720.0744059246
2022-06-14,1189420.7489054364
2022-06-15,1199747.5510629225
2022-06-16,1200382.6944192457
2022-06-17,1186113.8119919272
2022-06-21,1210496.682837722
2022-06-22,1199267.7442924948
2022-06-23,1200230.3050682517
2022-06-24,1236299.3238176072
2022-06-27,1222219.335414287
2022-06-28,1199937.9080174365
2022-06-29,1210836.7391941943
2022-06-30,1224375.3378270068
2022-07-01,1213242.9035660662
2022-07-05,1220040.8689972796
2022-07-06,1225988.8485428728
2022-07-07,1227971.6877457537
2022-07-08,1215414.4491669573
2022-07-11,1221517.2622150683
2022-07-12,1210728.0787586474
2022-07-13,1218673.7587818408
2022-07-14,1215077.2316517138
2022-07-15,1213404.4499286914
2022-07-18,1213802.28305772
2022-07-19,1241393.269275211
2022-07-20,1241176.6311068763
2022-07-21,1249628.8697467078
2022-07-22,1243560.5958514442
2022-07-25,1248545.1635089149
2022-07-26,1229040.0833163492
2022-07-27,1210114.4485775644
2022-07-28,1223273.180602711
2022-07-29,1248283.5403439219
2022-08-01,1249328.9967648203
2022-08-02,1235298.9091641123
2022-08-03,1250462.0002285654
2022-08-04,1290809.2680966074
2022-08-05,1284622.3739163096
2022-08-08,1293946.3468167002
2022-08-09,1288369.3022152598
2022-08-10,1301789.3983456308
2022-08-11,1304229.506118458
2022-08-12,1326712.494826954
2022-08-15,1319653.8193966562
2022-08-16,1329599.7427621498
2022-08-17,1318415.2569070472
2022-08-18,1308198.6240029945
2022-08-19,1275828.1072946202
2022-08-22,1254749.4925180092
2022-08-23,1242381.9805551185
2022-08-24,1245393.3817392006
2022-08-25,1254539.5343917734
2022-08-26,1211056.746494961
2022-08-29,1208099.6823927884
2022-08-30,1179534.1765913588
2022-08-31,1175510.8775572402
2022-09-01,1182216.375947438
2022-09-02,1182551.6169905288
2022-09-06,1183379.427588811
2022-09-07,1189833.5068734789
2022-09-08,1189009.956262212
2022-09-09,1207119.3381591847
2022-09-12,1218960.6957947593
2022-09-13,1176605.81297463
2022-09-14,1173876.5330368858
2022-09-15,1191566.4498993736
